date,strategy,nav,cash,invested,open_positions,nifty_close
2026-01-01,breakout_v1,1000000.0,0.0,1000000.0,5,26146.55
2026-01-02,breakout_v1,1002790.5,0.0,1002790.5,5,26328.55
2026-01-05,breakout_v1,995067.6,0.0,995067.6,5,26250.3
2026-01-06,breakout_v1,994385.3,0.0,994385.3,5,26178.7
2026-01-07,breakout_v1,982099.4,0.0,982099.4,5,26140.75
2026-01-08,breakout_v1,963230.42,0.0,963230.42,5,25876.85
2026-01-09,breakout_v1,950778.18,0.0,950778.18,5,25683.3
2026-01-12,breakout_v1,961203.71,0.0,961203.71,5,25790.25
2026-01-13,breakout_v1,965251.6,0.0,965251.6,5,25732.3
2026-01-14,breakout_v1,977011.69,0.0,977011.69,5,25665.6
2026-01-16,breakout_v1,977433.6,0.0,977433.6,5,25694.35
2026-01-19,breakout_v1,977847.87,0.0,977847.87,5,25585.5
2026-01-20,breakout_v1,944582.76,0.0,944582.76,5,25232.5
2026-01-21,breakout_v1,949249.09,0.0,949249.09,5,25157.5
2026-01-22,breakout_v1,954522.15,0.0,954522.15,5,25289.9
2026-01-23,breakout_v1,951517.63,0.0,951517.63,5,25048.65
2026-01-27,breakout_v1,967204.71,0.0,967204.71,5,25175.4
2026-01-28,breakout_v1,999307.41,0.0,999307.41,5,25342.75
2026-01-29,breakout_v1,1049635.22,0.0,1049635.22,5,25418.9
2026-01-30,breakout_v1,1024374.86,0.0,1024374.86,5,25320.65
2026-02-02,breakout_v1,972839.53,972839.53,0.0,0,25088.4
2026-02-03,breakout_v1,972839.53,0.0,972839.53,5,25727.55
2026-02-04,breakout_v1,970207.03,0.0,970207.03,5,25776.0
2026-02-05,breakout_v1,960466.31,0.0,960466.31,5,25642.8
2026-02-06,breakout_v1,956395.54,0.0,956395.54,5,25693.7
2026-02-09,breakout_v1,972270.5,0.0,972270.5,5,25867.3
2026-02-10,breakout_v1,970495.7,0.0,970495.7,5,25935.15
2026-02-11,breakout_v1,956880.91,0.0,956880.91,5,25953.85
2026-02-12,breakout_v1,946778.87,0.0,946778.87,5,25807.2
2026-02-13,breakout_v1,948231.72,0.0,948231.72,5,25471.1
2026-02-16,breakout_v1,957148.33,0.0,957148.33,5,25682.75
2026-02-17,breakout_v1,963256.24,0.0,963256.24,5,25725.4
2026-02-18,breakout_v1,956924.96,0.0,956924.96,5,25819.35
2026-02-19,breakout_v1,963795.02,0.0,963795.02,5,25454.35
2026-02-20,breakout_v1,968922.1,0.0,968922.1,5,25571.25
2026-02-23,breakout_v1,971479.24,0.0,971479.24,5,25713.0
2026-02-24,breakout_v1,972548.11,0.0,972548.11,5,25424.65
2026-02-25,breakout_v1,977540.2,0.0,977540.2,5,25482.5
2026-02-26,breakout_v1,978896.0,0.0,978896.0,5,25496.55
2026-02-27,breakout_v1,969602.07,0.0,969602.07,5,25178.65
2026-03-02,breakout_v1,966177.21,0.0,966177.21,5,24865.7
2026-03-04,breakout_v1,958805.27,958805.27,0.0,0,24480.5
2026-03-05,breakout_v1,958805.27,958805.27,0.0,0,24765.9
2026-03-06,breakout_v1,958805.27,958805.27,0.0,0,24450.45
2026-03-09,breakout_v1,958805.27,958805.27,0.0,0,24028.05
2026-03-10,breakout_v1,958805.27,958805.27,0.0,0,24261.6
2026-03-11,breakout_v1,958805.27,958805.27,0.0,0,23866.85
2026-03-12,breakout_v1,958805.27,958805.27,0.0,0,23639.15
2026-03-13,breakout_v1,958805.27,958805.27,0.0,0,23151.1
2026-03-16,breakout_v1,958805.27,958805.27,0.0,0,23408.8
2026-03-17,breakout_v1,958805.27,958805.27,0.0,0,23581.15
2026-03-18,breakout_v1,958805.27,958805.27,0.0,0,23777.8
2026-03-19,breakout_v1,958805.27,958805.27,0.0,0,23002.15
2026-03-20,breakout_v1,958805.27,958805.27,0.0,0,23114.5
2026-03-23,breakout_v1,958805.27,958805.27,0.0,0,22512.65
2026-03-24,breakout_v1,958805.27,958805.27,0.0,0,22912.4
2026-03-25,breakout_v1,958805.27,958805.27,0.0,0,23306.45
